질문,답변
비골신경 마비,안녕하세요  요약 1. 비골신경 손상이 있는지도 확인해 보세요 2. 운동 기능은 괜찮은지 확인해 보세요 3. 비골 신경에 손상이 생기면 발목관절에서 발을 들어올리지 못합니다.  비골 신경 손상은 비골 신경에 직접적인 손상이 가해지는 경우나 비골 신경의 주변 조직이 비골 신경을 압박하면서 생길 수 있습니다.  손상이 가해지는 기전은 주변의 근골격계 구조물이 손상골절 인대 손상이나 비골 신경 단독으로 잡아당겨지는 손상으로 발생할 수 있습니다.  건승하세요
손가락 마디가 달라요,안녕하세요. 메디이즈입니다.  새끼손가락이 불편하시군요. 해당증상은 새끼손가락에서 흔히 나타납니다. 손가락을 굽히는 힘줄이 속에서 걸리는 현상이 있는 것 같습니다. 가까운 정형외과를 방문하시기 바랍니다. 감사합니다.
질문드려요,안녕하세요. 메디이즈입니다.  대장내시경에서 관상성종이 발견되는 경우는 드물지만 건강한 30대라도 발견될 수 있습니다. 관상성종은 대장 점막의 염증으로 인해 발생하는 양성 종양으로 대부분 증상이 없기 때문에 대장내시경 검사를 통해 발견됩니다. 관상성종은 대부분 치료가 필요하지 않지만 크기가 커지거나 악성으로 변할 가능성이 있는 경우에는 수술적 제거가 필요할 수 있습니다. 따라서 대장내시경 검사를 통해 관상성종이 발견되면 주치의와 상의하여 치료 여부를 결정하는 것이 좋습니다.
원형탈모 치료,안녕하세요  요약 1. 언급한 것처럼 심하지 않을때에는 바르는 연고만으로도 호전이 되기도 합니다. 2. 바르다가 반응이 시원찮으면 상급병원에서 다른 치료를 병행하면 됩니다.  원형탈모증은 다양한 크기의 원형 또는 타원형의 탈모가 발생하는 것으로  한두 군데 탈모가 발생한 경우에는 저절로 호전될 수도 있으며 탈모 범위가 넓지 않은 경우24주 간격으로 스테로이드제를 병변 내 주사하거나 국소 스테로이드제를 1일 2회 병변에 도포하면 대개 수개월내에 호전됩니다.  건승하세요
소변시 고환? 통증,안녕하세요. 메디이즈입니다. 배뇨시 고환통이 있다면 정계 정맥류나 고환염 등에 대한 검사가 반드시 필요합니다. 비뇨기과 내원하여 진료를 보시기 바랍니다.
포피에 참깨같은 검은점들이 보입니다 사진첨부,안녕하세요  요약 1. 단순 멜라닌 색소들이 침착된 겁니다. 2. 점으로 인식하면 되고 3. 점이니까 별다른 증상이 없는 겁니다. 4. 통증 진물 발적 등의 증상이 생기면 그때는 치료가 필요합니다.  건승하세요
피검사 수치 질문드립니다.,안녕하세요. 메디이즈입니다. 고지혈증은 대사 이상에 의해 나타나므로 마른 체형이나 정상 체중에서도 발병할 수 있습니다. 약물 용량 조절이 필요하겠습니다.
병원에서 정계정맥류 진단받았는데 불편함이 있습니다,안녕하세요  요약 통증을 비롯한 증상이 반복되면 치료를 해야 합니다.  정계정맥류는 고환에서 체내 순환계로 빠져나가는 혈류가 원활하게 순환되지 못하고 저류되거나 울혈이 생기면 정맥혈관이 확장되어 발생하게 됩니다.  오래 서 있거나 장기간 금욕이나 소변을 오랫동안 참게 되면 고환에 묵직한 느낌과 함께 통증이 생길 수 있습니다.  건승하세요.
영양제,안녕하세요. 메디이즈입니다.  식사량이 충분하다면 괜찮을 것으로 보입니다 피로개선을 위해 비타민 B 복합 약을 추가하는 것도 추천드립니다  요새 뜨는 영양성분으로는 글루타치온과 콜라겐 등이 있습니다
비장주변 13.2cm병변,안녕하세요. 메디이즈입니다. 복부초음파에서 비장 주변에 13.2cm 병변이 발견될 만한게 별로 없습니다. 신장 낭종이 비장 주변에 생길 수 있는데 신장 낭종은 초음파로 진단이 가능합니다. 낭종이 아닌 종양이 생기거라면 위나 장에서 생긴 종양이 비장 주변에서 보일 수 있습니다.
비장주변 13.2cm병변,안녕하세요. 메디이즈입니다. 복부초음파에서 비장 주변에 13.2cm 병변이 발견될 만한게 별로 없습니다. 신장 낭종이 비장 주변에 생길 수 있는데 신장 낭종은 초음파로 진단이 가능합니다. 낭종이 아닌 종양이 생기거라면 위나 장에서 생긴 종양이 비장 주변에서 보일 수 있습니다.
특정 운동후 가래에 피,안녕하세요. 메디이즈입니다. 숨을 헐떡일 정도로 강도높은 운동을 한 뒤 가래에 피가 섞여나오는데 막상 병원을 방문해 진찰받아보시면 특별한 문제가 없는 상황이 수 차례 반복되신 것 같습니다. 아마 격한 운동 중 호흡이 가빠지면서 상기도가 건조해지고 상처가 난 것이 아닌가 싶습니다. 이 경우엔 휴식만 취해주시면 회복하게 되어 증상은 사라질 것이라 예상할 수 있겠습니다. 이 역시 질문자님의 경과와 유사한 것 같습니다.
협심증 가슴통증 질문드립니다.,안녕하세요. 메디이즈입니다. 일시적인 통증일 수도 있지만 통증이 지속된다면 협심증이나 역류성 식도염과 같은 질환에 대한 평가가 필요하므로 내과 진료를 보실 것을 권해드립니다. 답변이 도움이 되었기를 바랍니다.
피검사 수치 질문드립니다.,안녕하세요. 메디이즈입니다. 고지혈증은 대사 이상에 의해 나타나므로 마른 체형이나 정상 체중에서도 발병할 수 있습니다. 약물 용량 조절이 필요하겠습니다.
원형탈모 치료,안녕하세요  요약 1. 언급한 것처럼 심하지 않을때에는 바르는 연고만으로도 호전이 되기도 합니다. 2. 바르다가 반응이 시원찮으면 상급병원에서 다른 치료를 병행하면 됩니다.  원형탈모증은 다양한 크기의 원형 또는 타원형의 탈모가 발생하는 것으로  한두 군데 탈모가 발생한 경우에는 저절로 호전될 수도 있으며 탈모 범위가 넓지 않은 경우24주 간격으로 스테로이드제를 병변 내 주사하거나 국소 스테로이드제를 1일 2회 병변에 도포하면 대개 수개월내에 호전됩니다.  건승하세요
소변시 고환? 통증,안녕하세요. 메디이즈입니다. 배뇨시 고환통이 있다면 정계 정맥류나 고환염 등에 대한 검사가 반드시 필요합니다. 비뇨기과 내원하여 진료를 보시기 바랍니다.
질문드려요,안녕하세요. 메디이즈입니다.  대장내시경에서 관상성종이 발견되는 경우는 드물지만 건강한 30대라도 발견될 수 있습니다. 관상성종은 대장 점막의 염증으로 인해 발생하는 양성 종양으로 대부분 증상이 없기 때문에 대장내시경 검사를 통해 발견됩니다. 관상성종은 대부분 치료가 필요하지 않지만 크기가 커지거나 악성으로 변할 가능성이 있는 경우에는 수술적 제거가 필요할 수 있습니다. 따라서 대장내시경 검사를 통해 관상성종이 발견되면 주치의와 상의하여 치료 여부를 결정하는 것이 좋습니다.
질문드려요,안녕하세요. 메디이즈입니다.  네 그렇습니다. 수면은 렘수면과 비렘수면으로 나뉘는데 렘수면은 꿈을 꾸는 수면으로 기억력과 학습에 중요한 역할을 하고 비렘수면은 몸을 회복시키는 역할을 합니다. 새벽 늦게 자더라도 숙면을 하면 비렘수면을 충분히 취할 수 있고 이는 기억력과 학습에 도움이 됩니다. 또한 숙면을 하면 스트레스를 해소하고 면역력을 강화하는 효과가 있습니다. 따라서 새벽 늦게 자더라도 숙면을 하는 것이 수면의 질을 높이는 데 도움이 됩니다.
결막결석 관련 문의 드립니다.,안녕하세요. 메디이즈입니다. 1. 대부분 마취안약을 점안하고 합니다. 2. 세게 눌린 정도의 기준이 명화하지 않아서 정확히 설명 드리기가 어렵습니다. 다만 보통의 결석제거시 안구에 가해지는 압력이 안구에 영향을 주는 경우는 거의 없습니다. 3. 결석제거 후 눈주변과 안구뒤쪽에 통증이 생기는 경우는 경험해보지 못 했습니다. 도움이 되셨으면 좋겠습니다. 감사합니다.
골반저근 보톡스,안녕하세요. 메디이즈입니다. 엉덩이 주사를 어떤 성분의 주사를 맞으셨는지 모르겠습니다. 저의 경우라고 생각하고 말씀드리겠습니다. 위장염의 경우 촉진과 청진하고 그에 맞추어 주사를 드리는데 보통은 위장관 운동의 이상이 많기 때문에 진경제 주사를 드립니다. 그리고 이는 질문자분의 증상과는 크게 관련은 없어 보입니다. 물론 부작용이라는 것이 개인적인 차이가 있기 때문에 맞은 약의 성분도 모르는 상황에서 말씀드리기 너무나 조심스럽습니다.  해당 내과에 가셔서 한번 더 문의해보시고 크게 이상이 없다고 하신다면 비뇨기과 진료를 이어가는 것이 맞을 것으로 생각됩니다.
발목뼛조각,안녕하세요. 메디이즈입니다. 무리가 됩니다. 물론 중간에 휴식시간이 있겠지만 기존에 발목 골절이 있던 경우는 요추의 틀어짐도 동반되는 경우가 많으며 6시간 서있는 일 자체가 발목 뿐 아니라 척추에 지속적인 악영향을 주게됩니다.
눈밑 코 당기는 느낌,안녕하세요. 메디이즈입니다. 증상 부위의 순환장애로 봅니다. 치료는 뒷목의 근육 압박을 풀어서 척추간의 압력을 줄여서 머리와 안면눈을 담당하는 자율신경이 풀리면 호전되게 됩니다. 눈밑 필러는 증상 호전후에 하시기 바랍니다.
엘트롬보팍 질문드렸던 환자입니다 감사합니다 선생님,안녕하세요. 메디이즈입니다.  엘보팍은 ITP의 신약이다 보니까.. 여러 논문의 연구결과가 좀 상의하게 다른거 같네요.  대부분의 논문에서는 초기 치료에는 확실히 효과가 있다고 되어있고.. 2년이 지나서는 보통 2년이란 기간을 장기간으로 보는 것 같습니다. 반응이 감소하여 재발 가능성이 있다고 되어 있습니다.  질문자가 보여주신 EXTEND연구에서는 2년 후에는 50에서만 유의미한 반응을 유지한다고 되어있네요..  연구결과는 논문마다 상의하게 다른 경우가 많기때문에 정확하게 수치화하기는 어려울 것 같습니다. 개인차도 분명히 있을테니까요.. 주치의와 상의하여 가장 좋은 치료 계획을 세우시기 바랍니다.
비장 혹은 비장 주변 병변,안녕하세요. 메디이즈입니다. 비장 주변의 13cm에 육박하는 큰 덩이가 존재하는 상황에서 고려되어야 할 진단명은 다음과 같은 것들이 있겠습니다. 비장 혈관종 비장에서 발생하는 가장 흔한 양성 종양으로 무증상이며 우연히 발견되는 편입니다. 비장 낭종 비장 내에 액체성분으로 이루어진 양성 종양이고 이 역시 우연히 발견되는 편입니다. 비장 림프종 비장에서 발생하는 림프계 암으로 덩이가 형성된 이유일 수 있습니다. 비장 원발성 육종 드문 암이나 확인이 필요합니다. 따라서 이러한 양성 악성 여부를 확인하기 위해 추가적인 검사가 필요한 것입니다.
감사합니다,안녕하세요. 메디이즈입니다. 열도 없고 최근의 혈액검사 조영 CT 검사에서 특별한 문제가 없었다면 증상이 지속되더라도 추가적인 검사가 꼭 필요하다고 보기는 어렵습니다. 만성적인 증상으로 나타날 가능성이 높아보이므로 불편한 증상이 심해질 때 진료를 고려하시는 것이 안전하겠지만 때마다 검사를 시행할 필요까지는 없어보입니다.
혈관에 이상이 있는지확인하려면 무슨 검사들 하면되나요 ?,안녕하세요. 메디이즈입니다. 많이 불편하시겠네요. 큰병원에서 검사를해도 25정도는 그 원인을 찾지 못하는 경우가 있을 수 있습니다. 지금 경동맥 검사는 별로 필요없을 것 같습니다. 심리적인 원인에서도 어지럼증이 올 수 있습니다. 암수핀에스 드시고는 두통은 부작용으로 나타날 수 있습니다
